author,date,location,bank,star,text,like
Kyle,31.08.2023,"Magnolia, TX",merrick_bank,5,Very easy to use to view statements and make online payments. Your representatives have been courteous and helpful when I have called with a problem. And when there have been questionable charges on my account I have been contacted immediately. I would definitely recommend Merrick Bank to other family members and friends!,
Julicia,23.08.2023,"Columbus, GA",merrick_bank,5,Merrick Bank has always been good to me for business. I can rely on Merrick Bank to make sure I have a great Banking experience. Merrick also rewards me with credit increases when they see that I have been credit responsible customer. I'm pleased with their service. I would recommend Merrick Bank to anyone who's also looking to build their credit.,
Karen,2.06.2023,"Marrero, LA",merrick_bank,4,"Times are tough for everyone and I have worked very hard to get my credit restored. Due to BOA antics I had to file for bankruptcy twice in 6 months and both times I asked to withdraw and the judge did so and recused both. However, I have written to bureaus several times for it to be removed from my file to no avail. Because of this I have a higher interest rate and I have to accept it until that is removed from my credit file. All in all, I am grateful for the credit line to rebuild my credit. I have always made payments on time and more than minimum due. Thank you.",3.0
Brent,29.03.2023,"Moultrie, GA",merrick_bank,5,"I can not asked for a better Credit Card Company, Merrick Bank has been the PERFECT situation for me and I am truly grateful to be a customer and to be a part of beautiful customer service that you give. I NEVER had to call to asked for a credit increase and anytime I had a problem with anything you guys ALWAYS took completely great care of me. I want to say thank you and keep up the wonderful work. I wished you had a bank that I could deposit money into because Merrick Bank would my personal bank and I will do ALL my transactions to you.",3.0
Sharon,23.11.2022,"Burnham, IL",merrick_bank,5,"Updated on 02/10/2023: I was happy to sign for a new credit card by Merrick to continue to grow my already good credit score of 730. Merrick sent the card, I used it and made my first payment right away. I used it the second time and wasn't aware when payment due dates. I noticed a huge drop in my score of 79 points, that was listed to Merrick said I had a late payment,...but I never received a payment due date. I immediately paid the balance of $190, called them and customer service rep. said my due date is the 9th every month. But it was listed Nowhere on the original paperwork I was sent with the credit card. I wrote a letter asking them to delete the late payment on my credit and I'm Still Waiting for that correction to my credit score!",3.0
Michelle,18.11.2022,"Frankston, TX",merrick_bank,4,"Overall I enjoy the card and use it over most of my other cards, my husband had one and I he was very happy with it. They always followed through with increases as mentioned when signing up or applying for card. He uses his quite often also. I applied and was approved and got my first increase like they said I would, I never miss a a payment and pay early but for whatever reason my increases stopped for no reason. I have waited thinking I was off on when I would get one but still nothing. Either way it's still a great card. I use it often. It offers cash back and is accepted anywhere I shop online or in store and it's secure. Have never once had hacking issue or fraud charges.",4.0
Meredith,30.09.2022,"Pinson, AL",merrick_bank,5,"What started out as a not so good experience turned out to be excellent. After about 4 tries to get a rep I finally got Omar. He is the epitome of what a customer service rep should be. He was courteous, knowledgeable, and helpful. Whomever the HR person that hired him take a bow and be on the hunt for more. Omar represents Merrick Bank well. He restored my confidence in your services. If I ever need customer service again, Omar is the only way that I would like to talk to, even though I know that will probably be an impossible task. Take a bow Omar, you are an original.",4.0
Darrell,6.09.2023,"Rocky Mount, NC",merrick_bank,5,Absolutely wonderful. Definitely recommend this card to anybody. Absolutely no issues with it and great service all over. Really glad I chose to get this card and hope to continue using it for a very long time. I have no complaints at all. You can use the card all over and it's widely accepted. It has nice designs and I've had no issues.,
Lisa,6.09.2023,"Bradley, FL",merrick_bank,5,"I have been a Merrick customer for about a decade now. There has never been a problem, dispute, or even a call to customer service. In this day and age, that is phenomenal. Truly happy with this company and have recommended them to many friends. Thank you for your continuing service.",
Frank,6.09.2023,"Berkeley, CA",merrick_bank,5,"I have only been with MB a short while, so my experience is limited. But everything is going seemingly well. The information I receive is timely and my card records are always up-to-date. I would recommend MB to friends, and I hope that we will enjoy a lifetime relationship. Thank you.",
Morgan,6.09.2023,"El Dorado, AR",merrick_bank,4,Haven’t been with you that long. So far so good. I guess it’s my fault for not reading over my agreement and accepting guidelines. So I think I was late on first payment. Which unfortunately I really could have used a higher credit limit. All in good time I guess.,
Nunzio,6.09.2023,"Springfield, MA",merrick_bank,3,"Satisfied with experience. I would like a greater credit line, considering the length of time I had the card, also, I believe that the annual fee should be removed. I like the credit card and continue to use it, but, the credit line leaves something to be desired. It would be nice to receive a credit line increase of $5,000.00 or more.",
Beverly,5.09.2023,"Georgetown, DE",merrick_bank,5,"I needed assistance freezing a misplaced card and the service advisor was super helpful. The service advisor also explained how to go into the account and remove the freeze when necessary so, I didn't need to call back. It was easy going back to unfreeze the card as well. The service provided was excellent.",
